# 
# Header Description:
# 
# Version: v3.0.6.1 Platform: 11 Manufacturer: Realme Model: RMX1851
# 
# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
# 
# UncalAccel,utcTimeMillis,elapsedRealtimeNanos,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2
# 
# Accel,utcTimeMillis,elapsedRealtimeNanos,AccelXMps2,AccelYMps2,AccelZMps2
# 
# UncalGyro,utcTimeMillis,elapsedRealtimeNanos,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec
# 
# Gyro,utcTimeMillis,elapsedRealtimeNanos,GyroXRadPerSec,GyroYRadPerSec,GyroZRadPerSec
# 
# UncalMag,utcTimeMillis,elapsedRealtimeNanos,UncalMagXMicroT,UncalMagYMicroT,UncalMagZMicroT,BiasXMicroT,BiasYMicroT,BiasZMicroT
# 
# Mag,utcTimeMillis,elapsedRealtimeNanos,MagXMicroT,MagYMicroT,MagZMicroT
# 
# OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg
# 
# Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters
# 
# Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# 
Status,,34,0,1,5,1575420030,18.70,184.0,62.0,1,1,0,18.7
Status,,34,1,1,11,1575420030,15.20,1.0,43.0,1,1,0,15.2
Status,,34,2,1,12,1575420030,23.50,324.0,53.0,1,1,0,23.5
Status,,34,3,1,20,1575420030,10.50,73.0,79.0,0,1,0,10.5
Status,,34,4,1,24,1575420030,16.10,232.0,23.0,1,1,0,16.1
Status,,34,5,1,6,1575420030,0.00,35.0,13.0,0,1,0,0.0
Status,,34,6,1,13,1575420030,0.00,165.0,10.0,0,1,0,0.0
Status,,34,7,1,19,1575420030,0.00,74.0,21.0,0,1,0,0.0
Status,,34,8,1,25,1575420030,0.00,322.0,20.0,0,1,0,0.0
Status,,34,9,3,9,1602000000,20.20,312.0,30.0,1,1,0,20.2
Status,,34,10,3,16,1602000000,20.50,232.0,59.0,1,1,0,20.5
Status,,34,11,3,15,1602000000,12.00,172.0,22.0,0,1,0,12.0
Status,,34,12,3,18,1602000000,0.00,26.0,15.0,0,1,0,0.0
Status,,34,13,3,19,1602000000,0.00,340.0,26.0,0,1,0,0.0
Status,,34,14,3,3,1602000000,0.00,66.0,22.0,0,1,0,0.0
Status,,34,15,3,4,1602000000,0.00,122.0,33.0,0,1,0,0.0
Status,,34,16,5,8,1561097980,16.80,12.0,58.0,0,1,0,16.8
Status,,34,17,5,13,1561097980,16.60,0.0,0.0,1,1,0,16.6
Status,,34,18,5,19,1561097980,14.80,170.0,33.0,0,1,0,14.8
Status,,34,19,5,1,1561097980,0.00,94.0,16.0,0,1,0,0.0
Status,,34,20,5,2,1561097980,0.00,163.0,73.0,0,1,0,0.0
Status,,34,21,5,3,1561097980,0.00,109.0,52.0,0,1,0,0.0
Status,,34,22,5,5,1561097980,0.00,239.0,60.0,0,1,0,0.0
Status,,34,23,5,7,1561097980,0.00,99.0,53.0,0,1,0,0.0
Status,,34,24,5,10,1561097980,0.00,78.0,64.0,0,1,0,0.0
Status,,34,25,5,20,1561097980,0.00,102.0,45.0,0,1,0,0.0
Status,,34,26,5,29,1561097980,0.00,345.0,36.0,0,1,0,0.0
Status,,34,27,5,30,1561097980,0.00,49.0,23.0,0,1,0,0.0
Status,,34,28,6,21,1575420030,12.50,309.0,67.0,1,1,0,12.5
Status,,34,29,6,26,1575420030,15.90,293.0,41.0,1,1,0,15.9
Status,,34,30,6,1,1575420030,0.00,322.0,18.0,0,1,0,0.0
Status,,34,31,6,7,1575420030,0.00,146.0,20.0,0,1,0,0.0
Status,,34,32,6,13,1575420030,0.00,8.0,36.0,0,1,0,0.0
Status,,34,33,6,27,1575420030,0.00,153.0,53.0,0,1,0,0.0
Fix,GPS,12.9859922300,80.2373228900,-57.756927490234375,0.0,14.474633,,1682241286000,0.33105892,,47149376769222,6.0
Raw,1682241285433,47174400000000,18,,-1366229329033206568,-0.3454275131225586,103.5990280797705,15.698842805424409,16.62766638423991,9,16,0.0,49359,44085367160221,46,20.5,318.337158203125,1.1269999742507935,16,0.0,0.0,1601437440,,,,0,,3,3.26,17.5,,,,,,47148806311714
Raw,1682241285433,47174400000000,18,,-1366229329033206568,-0.3454275131225586,103.5990280797705,15.698842805424409,16.62766638423991,9,12,0.0,81935,33303362887501,31,23.5,-359.7691955566406,0.6694999933242798,16,0.0,0.0,1575420030,,,,0,,1,4.46,20.0,,,,,,47148806311714
Status,1682241286000,34,0,1,5,1575420030,18.70,184.0,62.0,1,1,0,18.7
Status,1682241286000,34,1,1,11,1575420030,15.20,1.0,43.0,1,1,0,15.2
Status,1682241286000,34,2,1,12,1575420030,23.80,324.0,53.0,1,1,0,23.8
Status,1682241286000,34,3,1,20,1575420030,10.50,73.0,79.0,0,1,0,10.5
Status,1682241286000,34,4,1,24,1575420030,16.10,232.0,23.0,1,1,0,16.1
Status,1682241286000,34,5,1,6,1575420030,0.00,35.0,13.0,0,1,0,0.0
Status,1682241286000,34,6,1,13,1575420030,0.00,165.0,10.0,0,1,0,0.0
Status,1682241286000,34,7,1,19,1575420030,0.00,74.0,21.0,0,1,0,0.0
Status,1682241286000,34,8,1,25,1575420030,0.00,322.0,20.0,0,1,0,0.0
Status,1682241286000,34,9,3,9,1602000000,20.20,312.0,30.0,1,1,0,20.2
Status,1682241286000,34,10,3,16,1602000000,21.20,232.0,59.0,1,1,0,21.2
Status,1682241286000,34,11,3,15,1602000000,12.00,172.0,22.0,0,1,0,12.0
Status,1682241286000,34,12,3,18,1602000000,0.00,26.0,15.0,0,1,0,0.0
Status,1682241286000,34,13,3,19,1602000000,0.00,340.0,26.0,0,1,0,0.0
Status,1682241286000,34,14,3,3,1602000000,0.00,66.0,22.0,0,1,0,0.0
Status,1682241286000,34,15,3,4,1602000000,0.00,122.0,33.0,0,1,0,0.0
Status,1682241286000,34,16,5,8,1561097980,16.80,12.0,58.0,0,1,0,16.8
Status,1682241286000,34,17,5,13,1561097980,16.60,0.0,0.0,1,1,0,16.6
Status,1682241286000,34,18,5,19,1561097980,14.80,170.0,33.0,0,1,0,14.8
Status,1682241286000,34,19,5,1,1561097980,0.00,94.0,16.0,0,1,0,0.0
Status,1682241286000,34,20,5,2,1561097980,0.00,163.0,73.0,0,1,0,0.0
Status,1682241286000,34,21,5,3,1561097980,0.00,109.0,52.0,0,1,0,0.0
Status,1682241286000,34,22,5,5,1561097980,0.00,239.0,60.0,0,1,0,0.0
Status,1682241286000,34,23,5,7,1561097980,0.00,99.0,53.0,0,1,0,0.0
Status,1682241286000,34,24,5,10,1561097980,0.00,78.0,64.0,0,1,0,0.0
Status,1682241286000,34,25,5,20,1561097980,0.00,102.0,45.0,0,1,0,0.0
Status,1682241286000,34,26,5,29,1561097980,0.00,345.0,36.0,0,1,0,0.0
Status,1682241286000,34,27,5,30,1561097980,0.00,49.0,23.0,0,1,0,0.0
Status,1682241286000,34,28,6,21,1575420030,12.50,309.0,67.0,1,1,0,12.5
